"NIG1" "NIG2" "lasso" "ridge" "null"
"emse" 0.0257207336866025 0.0246470105641383 0.0275590584154728 0.0521052250978341 0.454610502617963
"emse" 0.0233337782746128 0.0229002989827572 0.0246952591504643 0.0525581653104513 0.427985555447293
"emse" 0.0222851275412197 0.0213297600556137 0.0236042366085617 0.0510269042464593 0.47200503415616
"emse" 0.0215917072890709 0.0210644349793927 0.0225205126870341 0.0466598364443286 0.407272346101335
"emse" 0.024900476731436 0.0241692234222636 0.0256622956657918 0.054989813771564 0.467727944944269
"emse" 0.0235198247930425 0.0222579822947508 0.0251793832443855 0.0533347440524558 0.442219987718266
"emse" 0.0249037128674007 0.023849877917891 0.0264097237040925 0.0546526926942118 0.504181013742638
"emse" 0.0236030197847094 0.0225101664340142 0.0253728902646465 0.0492471016627165 0.432082165498159
"emse" 0.0241917621679548 0.0231542815788672 0.0257615563699427 0.0534091930174212 0.454217049990741
"emse" 0.0240386814894603 0.0229178031638144 0.0252130601448914 0.0547779071556064 0.468445403758956
"emse" 0.0233339001771559 0.0222018734601189 0.0247753140751154 0.0508722419646838 0.434942659935784
"emse" 0.0241747944627806 0.0233349313348094 0.0254688076625942 0.0565384835909913 0.515683093813941
"emse" 0.0248781267006752 0.024243312120566 0.0262953788159764 0.0542594861781505 0.445493338472787
"emse" 0.0242058000207655 0.0232225614400165 0.0260178958363909 0.0534802573988256 0.453075974970637
"emse" 0.0329318594049222 0.0310326304918822 0.0378769460965448 0.0659917756617038 0.575347931523429
"emse" 0.0229257007451117 0.0221038762140515 0.0244157537115069 0.0493995304473133 0.439985562448339
"emse" 0.0236857162101409 0.0230317932322552 0.0250858844124806 0.0507027714779425 0.425938326891542
"emse" 0.0272541609465745 0.0261226139365536 0.0284812888387543 0.0600315222665919 0.507951378588264
"emse" 0.0246797481229011 0.0236298786407736 0.0265902927765404 0.0629239499316805 0.504037913998531
"emse" 0.0226773779127635 0.0218616832825047 0.0242469609315664 0.0521094834219374 0.42217279146689
"emse" 0.0208309768427562 0.0201019938400777 0.0219269003025853 0.0461944007723521 0.415747294189843
"emse" 0.0241896326569014 0.0233664007212572 0.0265483318186429 0.0525524788989238 0.447910941847665
"emse" 0.0252677847243515 0.0244470669376688 0.0272375183708539 0.0538037927585876 0.448935900386007
"emse" 0.0240513919118958 0.0230894438784271 0.0253977043234107 0.0526653265647294 0.427427778883087
"emse" 0.0256758821366405 0.0248364731650936 0.0274020174333207 0.058554122204729 0.52162043462418
"emse" 0.0241021513990673 0.023424007039567 0.0257272986761581 0.0565374218336643 0.491148574331296
"emse" 0.0242839858711013 0.0230677599278751 0.0260122976276816 0.0516564665889981 0.451518360339405
"emse" 0.024509457145622 0.0233675423708148 0.0256581668666972 0.0541660988785089 0.475336631632475
"emse" 0.0307599631186859 0.029466157716166 0.0332588141388002 0.0668417928252499 0.589918673581557
"emse" 0.0233639333523418 0.0225225708090611 0.0248608801051644 0.0525600377927693 0.450588961294993
"emse" 0.0264264250682959 0.0250280491793342 0.0285288898909212 0.063126061683436 0.50453738813862
"emse" 0.0260475347037592 0.0250333686284863 0.0283317673560694 0.0570707567360537 0.477747802533908
"emse" 0.0242647187617515 0.0231976176959368 0.0257290587450659 0.0537367025255707 0.449508866908211
"emse" 0.0237245556552766 0.0229424386122046 0.0252979786934231 0.0494649744181476 0.440092873096771
"emse" 0.0236328317425219 0.0230167558274549 0.0250147436322703 0.0607589057194734 0.479341223409124
"emse" 0.0284064613513177 0.0273370049071177 0.0300145911754031 0.0621519022724183 0.551747846569339
"emse" 0.0260218780470966 0.0249431196428339 0.0270311299569042 0.0629481680015957 0.520727613764546
"emse" 0.0225462554855379 0.021925623174872 0.0241542113877676 0.0531669451446855 0.429302191494271
"emse" 0.0280646674857956 0.0264458803043577 0.0299012948120693 0.0607999840110496 0.522923585705494
"emse" 0.0258119173008636 0.0250986305271128 0.0275257046516789 0.0558878945360736 0.488977636874693
"emse" 0.0239095561179464 0.0224075137002384 0.0256540499183309 0.0584467402333696 0.478350162027409
"emse" 0.0222547290800352 0.021520200966271 0.023108729188729 0.04745970444313 0.429722332039407
"emse" 0.026702407264751 0.0256877692500996 0.0279449730799831 0.0573629735462879 0.486992111925019
"emse" 0.0238973386887211 0.0232093653407484 0.0255542833506006 0.0540884552626562 0.458658295141769
"emse" 0.0255595643440761 0.0245445167768993 0.0273367656986866 0.0558635820060453 0.469805962201778
"emse" 0.027680113147206 0.0263261250142592 0.029775697836414 0.062284125456036 0.503836746810164
"emse" 0.0269933424799545 0.0258560534303024 0.0286421710930939 0.0609148406466231 0.501707722938583
"emse" 0.0289675671118989 0.0272404459086039 0.0307330548267516 0.065214582022572 0.531545909161629
"emse" 0.0238956610343653 0.0229772320905951 0.0261912116631513 0.053897453970241 0.454711226194515
"emse" 0.0264598868121694 0.025445405427467 0.0280840052647817 0.0594628960209377 0.493442222518549
